price_tnd,price_eur,Area,pieces,room,bathroom,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
1850000.0,573500.0,780.0,12.0,10.0,6.0,2.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1900000.0,589000.0,761.0,12.0,12.0,4.0,0.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250000.0,387500.0,652.0,12.0,8.0,4.0,2.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1100000.0,341000.0,500.0,12.0,11.0,5.0,2.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1170000.0,362700.0,480.0,12.0,9.0,3.0,2.0,36.83561,10.21587,4.97542612901849,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
550000.0,170500.0,446.0,12.0,4.0,2.0,2.0,36.876389,10.325278,17.7221901283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1600000.0,496000.0,420.0,12.0,11.0,11.0,2.0,33.8869,9.5375,327.765254316544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
420000.0,130200.0,360.0,12.0,7.0,6.0,1.0,36.4064490599802,10.5563723383912,60.4336897979933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
720000.0,223200.0,266.0,12.0,4.0,3.0,2.0,33.8092721652541,10.9901396453313,339.71587713055,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
550000.0,170500.0,265.0,12.0,7.0,3.0,1.0,36.954444,10.191389,16.228614774176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
773000.0,239630.0,262.0,12.0,3.0,3.0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
820000.0,254200.0,222.0,12.0,8.0,6.0,2.0,36.77494,10.1306,6.6306819340308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
